tol,day,country,n_sets,mean_ratio,ci_lower,ci_upper,ratio_1000,extreme_1000,within_ci,rel_dev_pct
0.1000,362,DK,10,1.4253,0.9476,1.9030,1.0992,False,True,-22.8794
0.1000,362,EE,10,1.0121,1.0078,1.0163,1.0106,False,True,-0.1482
0.1000,362,EL,10,1.3310,1.2679,1.3941,1.3313,False,True,0.0225
0.1000,362,ES,10,1.5057,1.4374,1.5740,1.5578,False,True,3.4602
0.1000,362,FI,10,1.0049,1.0016,1.0082,1.0000,False,False,-0.4876
0.1000,362,FR,10,1.3052,1.2267,1.3837,1.3446,False,True,3.0187
0.1000,362,HR,10,2.8229,2.2939,3.3519,2.9209,False,True,3.4716
0.1000,362,HU,10,3.3326,3.0660,3.5991,3.1694,False,True,-4.8971
0.1000,362,IE,10,1.0001,1.0000,1.0001,1.0002,False,False,0.0100
0.1000,362,IT,10,1.1759,1.1433,1.2085,1.1717,False,True,-0.3572
0.1000,362,LT,10,2.6896,0.6463,4.7329,3.2093,False,True,19.3226
0.1000,362,LU,10,3.1952,2.4492,3.9411,2.2611,False,False,-29.2345
0.1000,362,LV,10,1.0337,0.9785,1.0889,0.9912,False,True,-4.1114
0.1000,362,NL,10,1.2249,1.1308,1.3189,1.1523,False,True,-5.9270
0.1000,362,NO,10,1.0039,1.0020,1.0057,1.0051,False,True,0.1195
0.1000,362,PL,10,1.6413,0.3897,2.8929,1.5552,False,True,-5.2458
0.1000,362,PT,10,1.6763,1.5973,1.7553,1.5469,False,False,-7.7194
0.1000,362,RO,10,1.9453,1.7024,2.1882,2.2379,False,False,15.0414
