country,tol,forecast_day,n_obs,ratio_of_means,ci_lower_95,ci_upper_95,ci_width,mean_wind_obj,mean_solar_obj,mean_combined_obj,near_zero_denom
LU,0.10000,271,10,1.97728,1.75115,2.24597,0.49482,0.00771,0.57754,1.15721,False
LU,0.10000,301,10,2.10848,1.91898,2.34328,0.42430,0.00714,0.49272,1.05395,False
LU,0.10000,332,10,2.55460,2.25467,2.86580,0.61113,0.00204,0.44658,1.14603,False
LU,0.10000,362,10,2.97527,2.48947,3.60281,1.11334,0.01333,0.36461,1.12447,False
LV,0.01000,271,10,,,,,0.00000,0.00000,0.00926,True
LV,0.01000,301,10,37.28571,11.13869,483.01176,471.87308,0.00000,0.00039,0.01462,True
LV,0.01000,332,10,29.97976,11.31508,175.00465,163.68957,0.00000,0.00049,0.01481,True
LV,0.01000,362,10,,,,,0.00000,0.00000,0.01840,True
LV,0.05000,271,10,1.70898,1.30408,2.36041,1.05633,0.00519,0.01818,0.03994,False
LV,0.05000,301,10,1.68670,1.49670,2.01345,0.51675,0.00333,0.02145,0.04180,False
LV,0.05000,332,10,1.76035,1.44913,2.16699,0.71785,0.00157,0.02466,0.04618,False
LV,0.05000,362,10,1.13762,1.07776,1.40158,0.32382,0.11731,0.01717,0.15299,False
LV,0.10000,271,10,2.29029,1.87565,2.91985,1.04420,0.01290,0.01570,0.06550,False
LV,0.10000,301,10,2.55080,2.16582,3.00769,0.84187,0.00752,0.02453,0.08177,False
LV,0.10000,332,10,1.67296,1.34415,2.08986,0.74571,0.01343,0.03735,0.08494,False
LV,0.10000,362,10,1.03120,1.01403,1.04979,0.03577,0.60131,0.02078,0.64150,False
NL,0.01000,271,10,3.76531,2.97180,4.80700,1.83520,0.00000,7.18830,27.06615,False
NL,0.01000,301,10,10.60005,8.24463,14.14024,5.89561,0.00000,1.83544,19.45580,False
NL,0.01000,332,10,25.11367,13.37548,103.43287,90.05739,0.00000,0.70212,17.63276,True
NL,0.01000,362,10,2.77588,1.93960,5.49981,3.56021,18.07783,0.19690,50.72846,False
NL,0.05000,271,10,3.53319,3.20303,3.83147,0.62843,0.00000,12.43827,43.94676,False
NL,0.05000,301,10,6.14141,5.28831,7.23780,1.94949,0.00000,5.86574,36.02394,False
NL,0.05000,332,10,9.63634,7.44360,12.75951,5.31590,0.06932,3.27720,32.24818,False
NL,0.05000,362,10,1.36640,1.25458,1.57978,0.32521,101.11951,2.11115,141.05400,False
NL,0.10000,271,10,3.14688,2.69276,3.60251,0.90975,2.47684,16.64895,60.18649,False
NL,0.10000,301,10,4.37401,3.68245,5.19464,1.51219,1.71807,10.09854,51.68601,False
NL,0.10000,332,10,3.34799,2.32950,5.33882,3.00931,7.75803,6.65511,48.25508,False
NL,0.10000,362,10,1.18682,1.13969,1.25873,0.11904,197.20332,4.76012,239.69510,False
NO,0.01000,271,10,2.06259,1.72284,3.11693,1.39409,0.31510,0.06654,0.78716,False
NO,0.01000,301,10,1.16522,1.08142,1.82356,0.74214,1.41043,0.00000,1.64347,False
NO,0.01000,332,10,1.07801,1.03717,1.28939,0.25222,3.27220,0.00000,3.52746,False
NO,0.01000,362,10,1.01638,1.01019,1.02813,0.01794,15.68312,0.00000,15.93997,False
NO,0.05000,271,10,1.08529,1.07073,1.10891,0.03817,5.34771,0.10438,5.91711,False
NO,0.05000,301,10,1.03486,1.02743,1.05050,0.02307,8.94442,0.01282,9.26946,False
NO,0.05000,332,10,1.01680,1.01297,1.02253,0.00956,18.10864,0.01196,18.42502,False
NO,0.05000,362,10,1.00537,1.00413,1.00711,0.00298,37.45423,0.00905,37.66441,False
NO,0.10000,271,10,1.03680,1.02965,1.04759,0.01793,14.11155,0.13723,14.77315,False
NO,0.10000,301,10,1.01423,1.01228,1.01644,0.00416,22.57576,0.02276,22.92013,False
NO,0.10000,332,10,1.00793,1.00586,1.01070,0.00484,35.87024,0.01334,36.16822,False
NO,0.10000,362,10,1.00364,1.00260,1.00507,0.00246,58.63653,0.01315,58.86321,False
PL,0.01000,271,10,21.14238,15.43307,30.93151,15.49844,0.00000,0.06829,1.44390,True
PL,0.01000,301,10,9.44854,7.12250,13.45726,6.33476,0.00000,0.19599,1.85183,False
PL,0.01000,332,10,9.25474,6.33788,15.78207,9.44420,0.00000,0.13845,1.28132,False
PL,0.01000,362,10,24.36872,13.98071,75.46052,61.47981,0.00000,0.04716,1.14923,True
PL,0.05000,271,10,6.47609,3.86617,10.81852,6.95236,0.10829,0.27307,2.46975,False
PL,0.05000,301,10,6.05269,5.27733,6.94664,1.66931,0.00000,0.48550,2.93859,False
PL,0.05000,332,10,5.30854,4.41539,6.30585,1.89046,0.00000,0.39784,2.11193,False
PL,0.05000,362,10,1.80654,1.30296,10.19540,8.89245,1.98851,0.20854,3.96906,False
PL,0.10000,271,10,1.73757,1.31595,3.28984,1.97388,2.46598,0.47759,5.11464,False
PL,0.10000,301,10,1.29378,1.14279,1.83375,0.69097,6.10515,0.75808,8.87952,False
PL,0.10000,332,10,4.78979,4.24149,5.23333,0.99184,0.00000,0.63827,3.05716,False
PL,0.10000,362,10,1.04999,1.03145,1.10290,0.07145,47.83839,0.39394,50.64327,False
PT,0.01000,271,10,1.39607,1.35067,1.44355,0.09288,0.00000,29.49117,41.17176,False
PT,0.01000,301,10,1.56631,1.42990,1.70489,0.27499,0.00000,18.34290,28.73058,False
PT,0.01000,332,10,1.56433,1.48437,1.64965,0.16528,0.00000,21.43845,33.53672,False
PT,0.01000,362,10,1.48002,1.40532,1.54956,0.14425,0.00000,17.32316,25.63869,False
PT,0.05000,271,10,1.45273,1.40544,1.49703,0.09159,0.00000,32.93651,47.84779,False
PT,0.05000,301,10,1.60164,1.48975,1.70567,0.21592,0.00000,21.57765,34.55964,False
PT,0.05000,332,10,1.65260,1.58127,1.71886,0.13758,0.04606,24.63602,40.78965,False
PT,0.05000,362,10,1.57123,1.52145,1.62278,0.10133,0.00000,19.48991,30.62310,False
PT,0.10000,271,10,1.45733,1.38766,1.52310,0.13543,1.88254,35.55502,54.55877,False
PT,0.10000,301,10,1.60986,1.53283,1.67913,0.14630,0.53405,24.24091,39.88435,False
PT,0.10000,332,10,1.57765,1.48426,1.66940,0.18514,4.63921,27.26771,50.33784,False
PT,0.10000,362,10,1.67745,1.61219,1.74151,0.12932,0.06878,21.39096,35.99755,False
RO,0.01000,271,10,4.24839,3.30500,6.52120,3.21620,0.00000,1.78733,7.59327,False
RO,0.01000,301,10,2.54494,2.35957,2.74579,0.38622,0.00000,14.25438,36.27654,False
